"FLaSHLogNumber","Project","Year","SampleDate","Station","Species","SerialNumber","GutContents","PreyItemsID'd","DietStudy"
30,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1391","y","y",1
31,"FMWT",2011,9/8/2011 0:00:00,"413","DELSME","1109","y","y",1
32,"FMWT",2011,9/8/2011 0:00:00,"502","DELSME","1117","y","y",1
33,"FMWT",2011,9/8/2011 0:00:00,"502","DELSME","1118","y","y",2
34,"FMWT",2011,9/8/2011 0:00:00,"413","DELSME","1108","y","y",1
35,"FMWT",2011,9/8/2011 0:00:00,"413","DELSME","1110","y","y",2
36,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1379","y","y",1
37,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1377","y","y",1
38,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1393","y","y",1
39,"FMWT",2011,9/8/2011 0:00:00,"504","DELSME","1123","y","y",1
40,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1372","y","y",1
41,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1386","y","y",1
42,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1375","y","y",2
43,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1369","y","y",1
44,"TNS",2011,8/23/2011 0:00:00,"797","DELSME","1487","y","y",2
45,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1370","y","y",1
46,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1392","y","y",1
47,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1373","y","y",1
48,"TNS",2011,8/23/2011 0:00:00,"797","DELSME","1484","y","y",1
49,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1376","y","y",1
50,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1400","y","y",1
51,"TNS",2011,8/23/2011 0:00:00,"797","DELSME","1486","y","y",1
52,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1383","y","y",1
53,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1399","y","y",1
54,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1374","y","y",1
55,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1394","y","y",2
56,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1380","y","y",1
57,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1371","y","y",1
58,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1378A","y","y",1
59,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1385","y","y",2
60,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1364","y","y",1
61,"FMWT",2011,9/8/2011 0:00:00,"504","DELSME","1122","y","y",1
62,"FMWT",2011,9/8/2011 0:00:00,"504","DELSME","1121","y","y",1
63,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1395","y","y",1
64,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1389","y","y",1
65,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1368","y","y",2
66,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1367","y","y",1
67,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1378B","y","y",1
68,"TNS",2011,8/23/2011 0:00:00,"797","DELSME","1485","y","y",1
69,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1390","y","y",1
70,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1401","y","y",1
71,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1387","y","y",1
72,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1396","y","y",2
73,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1397","y","y",1
74,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1365","y","y",1
75,"FMWT",2011,9/8/2011 0:00:00,"405","DELSME","1501","n","y",1
76,"FMWT",2011,9/8/2011 0:00:00,"405","DELSME","1502","y","y",1
77,"FMWT",2011,9/8/2011 0:00:00,"405","DELSME","1503","y","y",1
78,"FMWT",2011,9/8/2011 0:00:00,"405","DELSME","1504","y","y",1
79,"FMWT",2011,9/8/2011 0:00:00,"405","DELSME","1505","y","y",1
80,"FMWT",2011,9/8/2011 0:00:00,"411","DELSME","1100","y","y",1
81,"FMWT",2011,9/8/2011 0:00:00,"411","DELSME","1101","y","y",1
82,"FMWT",2011,9/8/2011 0:00:00,"501","DELSME","1113","y","y",1
83,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1083","y","y",1
84,"TNS",2011,8/25/2011 0:00:00,"418","DELSME","1084","y","y",1
85,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1064","y","y",1
86,"FMWT",2011,9/13/2011 0:00:00,"518","DELSME","1256","y","y",1
87,"FMWT",2011,9/13/2011 0:00:00,"507","DELSME","1298","y","y",1
88,"FMWT",2011,9/13/2011 0:00:00,"519","DELSME","1259","y","y",2
89,"FMWT",2011,9/13/2011 0:00:00,"519","DELSME","1265","y","y",1
90,"FMWT",2011,9/13/2011 0:00:00,"515","DELSME","1221","y","y",1
91,"FMWT",2011,9/13/2011 0:00:00,"507","DELSME","1296","y","y",1
92,"FMWT",2011,9/13/2011 0:00:00,"519","DELSME","1266","y","y",2
93,"FMWT",2011,9/13/2011 0:00:00,"518","DELSME","1254","y","y",1
94,"FMWT",2011,9/13/2011 0:00:00,"519","DELSME","1263","y","y",1
95,"FMWT",2011,9/13/2011 0:00:00,"519","DELSME","1260","y","y",1
96,"FMWT",2011,9/13/2011 0:00:00,"519","DELSME","1261","y","y",1
97,"FMWT",2011,9/13/2011 0:00:00,"519","DELSME","1258","y","y",1
98,"FMWT",2011,9/13/2011 0:00:00,"519","DELSME","1264","y","y",1
99,"FMWT",2011,9/13/2011 0:00:00,"518","DELSME","1255","y","y",2
100,"FMWT",2011,9/13/2011 0:00:00,"515","DELSME","1222","y","y",1
101,"FMWT",2011,9/14/2011 0:00:00,"715","DELSME","1610","y","y",1
102,"FMWT",2011,9/13/2011 0:00:00,"507","DELSME","1295","y","y",1
103,"FMWT",2011,9/13/2011 0:00:00,"512","DELSME","1314","y","y",2
104,"FMWT",2011,9/12/2011 0:00:00,"802","DELSME","1199","y","y",2
105,"FMWT",2011,9/13/2011 0:00:00,"507","DELSME","1297","y","y",1
106,"FMWT",2011,9/13/2011 0:00:00,"516","DELSME","1229","y","y",1
107,"FMWT",2011,9/14/2011 0:00:00,"715","DELSME","1577","y","y",1
108,"FMWT",2011,9/13/2011 0:00:00,"518","DELSME","1253","y","y",1
109,"FMWT",2011,9/13/2011 0:00:00,"507","DELSME","1299","y","y",
110,"FMWT",2011,10/7/2011 0:00:00,"508","DELSME","2383","y","y",1
111,"FMWT",2011,10/7/2011 0:00:00,"518","DELSME","2427","y","y",1
112,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2401","y","y",1
113,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2397","y","y",1
114,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2405","Y","y",1
115,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2392","y","y",1
116,"FMWT",2011,10/7/2011 0:00:00,"518","DELSME","2424","y","y",1
117,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2396","y","y",1
118,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2398","y","y",2
119,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2403","y","y",1
120,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2385","y","y",1
121,"FMWT",2011,10/7/2011 0:00:00,"518","DELSME","2426","y","y",2
122,"FMWT",2011,10/7/2011 0:00:00,"511","DELSME","2365","y","y",1
123,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2393","y","y",1
124,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2391","y","y",1
125,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2402","y","y",1
126,"FMWT",2011,10/7/2011 0:00:00,"509","DELSME","2374","y","y",1
127,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2400","y","y",1
128,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2394","y","Y",1
129,"FMWT",2011,10/7/2011 0:00:00,"518","DELSME","2428","y","y",1
130,"FMWT",2011,10/7/2011 0:00:00,"519","DELSME","2413","y","y",2
131,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2395","y","y",1
132,"FMWT",2011,10/7/2011 0:00:00,"509","DELSME","2373","y","y",1
133,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2406","y","y",1
134,"FMWT",2011,10/7/2011 0:00:00,"518","DELSME","2425","y","y",1
135,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2404","y","y",1
136,"FMWT",2011,10/7/2011 0:00:00,"508","DELSME","2384","y","y",1
137,"FMWT",2011,10/7/2011 0:00:00,"509","DELSME","2372","y","y",1
138,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2407","y","y",2
139,"FMWT",2011,10/7/2011 0:00:00,"518","DELSME","2422","y","y",1
140,"FMWT",2011,10/7/2011 0:00:00,"510","DELSME","2367","y","y",1
141,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2390","y","y",1
142,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2408","y","y",1
143,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2399","y","y",1
144,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2388","y","y",1
145,"FMWT",2011,12/12/2011 0:00:00,"706","DELSME","3321","y","y",1
146,"FMWT",2011,12/12/2011 0:00:00,"706","DELSME","3325","y","y",1
147,"FMWT",2011,12/9/2011 0:00:00,"519","DELSME","3251","y","y",1
148,"FMWT",2011,12/9/2011 0:00:00,"519","DELSME","3249","y","y",1
149,"FMWT",2011,12/12/2011 0:00:00,"703","DELSME","3427","y","y",1
150,"FMWT",2011,12/13/2011 0:00:00,"807","DELSME","1895","y","y",1
151,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3377","y","y",1
152,"FMWT",2011,12/12/2011 0:00:00,"706","DELSME","3344","y","y",1
153,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3373","y","y",1
154,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2386","y","y",1
155,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2387","y","y",1
156,"FMWT",2011,10/7/2011 0:00:00,"519","DELSME","2416","y","y",1
157,"FMWT",2011,10/7/2011 0:00:00,"517","DELSME","2437","y","y",2
158,"FMWT",2011,10/7/2011 0:00:00,"507","DELSME","2389","y","y",1
159,"FMWT",2011,10/7/2011 0:00:00,"518","DELSME","2423","y","y",1
160,"FMWT",2011,10/10/2011 0:00:00,"721","DELSME","2611","y","y",1
161,"FMWT",2011,10/10/2011 0:00:00,"721","DELSME","2612","y","y",1
162,"FMWT",2011,10/10/2011 0:00:00,"721","DELSME","2610","y","y",1
163,"FMWT",2011,11/15/2011 0:00:00,"703","DELSME","2845","y","y",1
164,"FMWT",2011,11/14/2011 0:00:00,"517","DELSME","2832","y","y",2
165,"FMWT",2011,11/15/2011 0:00:00,"704","DELSME","2848","y","y",1
166,"FMWT",2011,9/8/2011 0:00:00,"502","DELSME","1115","y","y",1
167,"FMWT",2011,9/8/2011 0:00:00,"502","DELSME","1116","y","y",2
168,"TNS",2011,8/25/2011 0:00:00,"418","DELSME","1086","n","y",1
169,"FMWT",2011,11/15/2011 0:00:00,"704","DELSME","2846","y","y",1
170,"FMWT",2011,11/15/2011 0:00:00,"704","DELSME","2849","y","y",1
171,"FMWT",2011,11/21/2011 0:00:00,"797","DELSME","3045","y","y",2
172,"FMWT",2011,11/21/2011 0:00:00,"719","DELSME","2974","y","y",1
173,"FMWT",2011,11/21/2011 0:00:00,"719","DELSME","2976","y","y",1
174,"FMWT",2011,11/21/2011 0:00:00,"719","DELSME","2983","y","y",1
175,"FMWT",2011,11/21/2011 0:00:00,"719","DELSME","2982","y","y",1
176,"FMWT",2011,11/21/2011 0:00:00,"797","DELSME","3043","y","y",1
177,"FMWT",2011,11/21/2011 0:00:00,"797","DELSME","3046","y","y",1
178,"FMWT",2011,11/21/2011 0:00:00,"719","DELSME","2979","y","y",1
179,"FMWT",2011,11/21/2011 0:00:00,"797","DELSME","3042","y","y",1
180,"FMWT",2011,11/21/2011 0:00:00,"719","DELSME","2980","y","y",1
181,"FMWT",2011,11/21/2011 0:00:00,"719","DELSME","2977","y","y",1
182,"FMWT",2011,11/21/2011 0:00:00,"719","DELSME","2981","y","y",1
183,"FMWT",2011,11/21/2011 0:00:00,"797","DELSME","3044","y","y",1
184,"FMWT",2011,11/21/2011 0:00:00,"719","DELSME","2975","y","y",1
185,"FMWT",2011,11/21/2011 0:00:00,"797","DELSME","3041","y","y",
186,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3220","y","y",1
187,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3217","y","y",1
188,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3216","y","y",1
189,"FMWT",2011,11/10/2011 0:00:00,"606","DELSME","2805","y","y",1
190,"FMWT",2011,11/10/2011 0:00:00,"606","DELSME","2809","y","y",1
191,"FMWT",2011,11/10/2011 0:00:00,"606","DELSME","2813","y","y",2
192,"FMWT",2011,11/10/2011 0:00:00,"606","DELSME","2814","y","y",2
193,"FMWT",2011,11/10/2011 0:00:00,"606","DELSME","2812","y","y",1
194,"FMWT",2011,11/9/2011 0:00:00,"412","DELSME","2787","y","y",2
195,"FMWT",2011,11/10/2011 0:00:00,"606","DELSME","2808","Y","y",1
196,"FMWT",2011,11/9/2011 0:00:00,"412","DELSME","2788","Y","Y",1
197,"FMWT",2011,11/9/2011 0:00:00,"407","DELSME","2770","N","y",1
198,"FMWT",2011,11/21/2011 0:00:00,"797","DELSME","3040","Y","y",
199,"FMWT",2011,11/21/2011 0:00:00,"719","DELSME","2978","y","y",1
200,"FMWT",2011,11/21/2011 0:00:00,"797","DELSME","3049","y","y",2
201,"FMWT",2011,11/15/2011 0:00:00,"704","DELSME","2847","y","Y",1
202,"FMWT",2011,11/14/2011 0:00:00,"518","DELSME","2836","y","y",1
203,"FMWT",2011,11/10/2011 0:00:00,"606","DELSME","2807","y","y",1
204,"FMWT",2011,11/10/2011 0:00:00,"601","DELSME","2819","y","y",1
205,"FMWT",2011,11/10/2011 0:00:00,"606","DELSME","2806","Y","y",1
206,"FMWT",2011,11/15/2011 0:00:00,"705","DELSME","2855","y","y",1
207,"FMWT",2011,11/10/2011 0:00:00,"606","DELSME","2810","y","y",2
208,"FMWT",2011,11/10/2011 0:00:00,"606","DELSME","2811","y","Y",2
209,"FMWT",2011,11/14/2011 0:00:00,"517","DELSME","2831","Y","Y",1
210,"FMWT",2011,11/10/2011 0:00:00,"606","DELSME","2818","Y","Y",1
211,"FMWT",2011,12/16/2011 0:00:00,"719","DELSME","2061","Y","Y",1
212,"FMWT",2011,12/16/2011 0:00:00,"719","DELSME","2063","Y","Y",1
213,"FMWT",2011,12/13/2011 0:00:00,"807","DELSME","1896","Y","Y",1
214,"FMWT",2011,12/16/2011 0:00:00,"797","DELSME","2076","N","Y",1
215,"FMWT",2011,12/16/2011 0:00:00,"719","DELSME","2060","Y","Y",1
216,"FMWT",2011,12/13/2011 0:00:00,"806","DELSME","1892","Y","Y",1
217,"FMWT",2011,12/16/2011 0:00:00,"719","DELSME","2062","Y","Y",1
218,"FMWT",2011,12/16/2011 0:00:00,"719","DELSME","2064","Y","Y",1
219,"FMWT",2011,12/16/2011 0:00:00,"797","DELSME","2075","Y","Y",1
220,"FMWT",2011,12/16/2011 0:00:00,"719","DELSME","2059","Y","Y",1
221,"FMWT",2011,12/9/2011 0:00:00,"515","DELSME","3228","Y","Y",1
222,"FMWT",2011,12/9/2011 0:00:00,"518","DELSME","3239","Y","Y",1
223,"FMWT",2011,12/9/2011 0:00:00,"519","DELSME","3253","Y","Y",1
224,"FMWT",2011,12/9/2011 0:00:00,"507","DELSME","3264","Y","Y",1
225,"FMWT",2011,12/9/2011 0:00:00,"507","DELSME","3263","Y","Y",1
226,"FMWT",2011,12/9/2011 0:00:00,"518","DELSME","3243","Y","Y",1
227,"FMWT",2011,12/9/2011 0:00:00,"518","DELSME","3242","Y","Y",1
228,"FMWT",2011,12/12/2011 0:00:00,"704","DELSME","3401","Y","Y",1
229,"FMWT",2011,12/12/2011 0:00:00,"706","DELSME","3320","Y","Y",1
230,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3372","Y","Y",1
231,"FMWT",2011,12/12/2011 0:00:00,"703","DELSME","3417","Y","Y",1
232,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3366","y","y",1
233,"FMWT",2011,12/9/2011 0:00:00,"518","DELSME","3244","Y","y",1
234,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3218","y","y",1
235,"FMWT",2011,12/12/2011 0:00:00,"704","DELSME","3396","y","y",1
236,"FMWT",2011,12/12/2011 0:00:00,"706","DELSME","3331","y","y",1
237,"FMWT",2011,12/12/2011 0:00:00,"706","DELSME","3347","Y","Y",1
238,"FMWT",2011,12/12/2011 0:00:00,"706","DELSME","3327","y","y",1
239,"FMWT",2011,12/12/2011 0:00:00,"706","DELSME","3341","y","y",1
240,"FMWT",2011,12/12/2011 0:00:00,"706","DELSME","3329","y","Y",1
241,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3214","y","y",1
242,"FMWT",2011,12/12/2011 0:00:00,"706","DELSME","3330","y","y",1
243,"FMWT",2011,12/12/2011 0:00:00,"704","DELSME","3398","y","Y",1
244,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3365","y","y",1
245,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3213","y","y",1
246,"FMWT",2011,12/12/2011 0:00:00,"703","DELSME","3416","y","y",1
247,"FMWT",2011,12/8/2011 0:00:00,"417","DELSME","3198","Y","Y",1
248,"FMWT",2011,12/12/2011 0:00:00,"704","DELSME","3402","y","y",1
249,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3222","y","y",1
250,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3215","y","y",1
251,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3230","y","y",1
252,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3367","y","y",1
253,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3378","y","y",1
254,"FMWT",2011,12/12/2011 0:00:00,"703","DELSME","3420","y","y",1
255,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3380","y","y",1
256,"FMWT",2011,12/12/2011 0:00:00,"703","DELSME","3422","y","y",1
257,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3223","Y","Y",1
258,"FMWT",2011,12/12/2011 0:00:00,"703","DELSME","3426","y","y",1
259,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3370","Y","Y",1
260,"FMWT",2011,12/12/2011 0:00:00,"704","DELSME","3397","y","y",1
261,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3382","y","y",1
262,"FMWT",2011,12/12/2011 0:00:00,"703","DELSME","3421","y","y",1
263,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3364","y","y",1
264,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3381","y","y",1
265,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3368","y","y",1
266,"FMWT",2011,12/12/2011 0:00:00,"703","DELSME","3424","y","y",1
267,"FMWT",2011,12/12/2011 0:00:00,"703","DELSME","3418","y","y",1
268,"FMWT",2011,12/7/2011 0:00:00,"502","DELSME","3175","y","y",1
269,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3384","y","y",1
270,"FMWT",2011,12/12/2011 0:00:00,"704","DELSME","3399","y","y",1
271,"FMWT",2011,12/9/2011 0:00:00,"517","DELSME","3235","y","y",1
272,"FMWT",2011,12/9/2011 0:00:00,"519","DELSME","3252","y","y",1
273,"FMWT",2011,12/9/2011 0:00:00,"518","DELSME","3240","y","y",1
274,"FMWT",2011,12/9/2011 0:00:00,"517","DELSME","3237","y","y",1
275,"FMWT",2011,12/9/2011 0:00:00,"518","DELSME","3241","y","y",1
276,"FMWT",2011,12/9/2011 0:00:00,"519","DELSME","3248","y","y",1
277,"FMWT",2011,12/9/2011 0:00:00,"519","DELSME","3250","y","y",1
278,"FMWT",2011,12/9/2011 0:00:00,"517","DELSME","3236","y","y",1
279,"FMWT",2011,12/9/2011 0:00:00,"509","DELSME","3271","y","y",1
280,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3369","y","y",1
281,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3371","y","y",1
282,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3379","y","y",1
283,"FMWT",2011,12/12/2011 0:00:00,"703","DELSME","3423","y","y",1
284,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3376","y","y",1
285,"FMWT",2011,12/9/2011 0:00:00,"516","DELSME","3232","y","y",1
286,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3374","y","y",1
287,"FMWT",2011,10/5/2011 0:00:00,"411","DELSME","2210","y","y",1
288,"FMWT",2011,10/5/2011 0:00:00,"505","DELSME","2259","y","y",1
289,"FMWT",2011,12/12/2011 0:00:00,"703","DELSME","3425","y","y",1
290,"FMWT",2011,12/12/2011 0:00:00,"703","DELSME","3419","y","y",1
291,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3383","y","y",1
292,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3375","y","y",1
293,"FMWT",2011,12/12/2011 0:00:00,"704","DELSME","3400","y","y",2
294,"FMWT",2011,12/12/2011 0:00:00,"705","DELSME","3385","y","y",2
295,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3224","y","y",1
296,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3221","y","y",2
297,"FMWT",2011,12/8/2011 0:00:00,"605","DELSME","3211","y","y",1
298,"FMWT",2011,12/8/2011 0:00:00,"606","DELSME","3219","y","y",1
299,"SKT",2012,1/20/2012 0:00:00,"501","DELSME","4252","y","y",1
300,"SKT",2012,1/20/2012 0:00:00,"501","DELSME","4243","y","y",1
301,"SKT",2012,1/20/2012 0:00:00,"501","DELSME","4245","y","y",1
302,"SKT",2012,1/20/2012 0:00:00,"501","DELSME","4253","y","y",1
303,"SKT",2012,1/20/2012 0:00:00,"501","DELSME","4247","y","y",1
304,"SKT",2012,1/20/2012 0:00:00,"501","DELSME","4251","y","y",1
305,"SKT",2012,1/20/2012 0:00:00,"501","DELSME","4244","y","y",1
306,"SKT",2012,1/20/2012 0:00:00,"501","DELSME","4234","y","y",
307,"SKT",2012,1/20/2012 0:00:00,"501","DELSME","4248","y","y",1
308,"SKT",2012,1/20/2012 0:00:00,"501","DELSME","4250","y","y",1
309,"SKT",2012,1/18/2012 0:00:00,"504","DELSME","4063","y","y",1
310,"SKT",2012,1/18/2012 0:00:00,"504","DELSME","4062","y","y",1
311,"SKT",2012,1/18/2012 0:00:00,"504","DELSME","4061","y","y",1
312,"SKT",2012,1/18/2012 0:00:00,"508","DELSME","4067","y","y",1
313,"SKT",2012,1/18/2012 0:00:00,"508","DELSME","4069","y","y",1
314,"SKT",2012,1/18/2012 0:00:00,"508","DELSME","4064","y","y",1
315,"SKT",2012,1/18/2012 0:00:00,"508","DELSME","4065","y","y",1
316,"SKT",2012,1/18/2012 0:00:00,"508","DELSME","4068","y","y",1
317,"SKT",2012,1/18/2012 0:00:00,"508","DELSME","4070","y","y",1
318,"SKT",2012,1/18/2012 0:00:00,"508","DELSME","4071","y","y",2
319,"SKT",2012,1/18/2012 0:00:00,"508","DELSME","4072","y","y",1
320,"SKT",2012,1/18/2012 0:00:00,"513","DELSME","4007","y","y",2
321,"SKT",2012,1/18/2012 0:00:00,"519","DELSME","4017","y","y",1
322,"SKT",2012,1/18/2012 0:00:00,"519","DELSME","4012","y","y",1
323,"SKT",2012,1/18/2012 0:00:00,"519","DELSME","4022","y","y",2
324,"SKT",2012,1/18/2012 0:00:00,"519","DELSME","4027","y","y",1
325,"SKT",2012,1/18/2012 0:00:00,"519","DELSME","4033","y","y",1
326,"SKT",2012,1/18/2012 0:00:00,"519","DELSME","4040","y","Y",1
327,"SKT",2012,1/18/2012 0:00:00,"519","DELSME","4042","y","y",1
328,"SKT",2012,1/18/2012 0:00:00,"519","DELSME","4043","y","y",1
329,"SKT",2012,1/18/2012 0:00:00,"519","DELSME","4051","y","y",1
330,"SKT",2012,1/18/2012 0:00:00,"519","DELSME","4055","y","y",1
331,"SKT",2012,1/20/2012 0:00:00,"520","DELSME","4233","y","y",
332,"SKT",2012,1/20/2012 0:00:00,"520","DELSME","4228","y","y",1
333,"SKT",2012,1/20/2012 0:00:00,"520","DELSME","4238","y","y",1
334,"SKT",2012,1/20/2012 0:00:00,"520","DELSME","4229","y","y",1
335,"SKT",2012,1/20/2012 0:00:00,"520","DELSME","4235","y","y",1
336,"SKT",2012,1/20/2012 0:00:00,"520","DELSME","4239","y","y",
337,"SKT",2012,1/20/2012 0:00:00,"520","DELSME","4236","y","y",
338,"SKT",2012,1/20/2012 0:00:00,"520","DELSME","4232","y","y",1
339,"SKT",2012,1/20/2012 0:00:00,"520","DELSME","4241","y","y",1
