"UniqueID","DietStudy","LogNumber","Project","GearType","Year","Month","Date","Time","Station","SerialNumber","CulturedOrigin","Depth","SurfaceTemperature","SurfaceConductivity","SurfacePPT","BottomTemperature","BottomConductivity","BottomPPT","Secchi","Turbidity","TotalBodyWeight","Length","GutContents","TotalGutContentWeight","TotalNumberOfPrey","TotalPreyWeight","GutFullness","FullnessRank","DigestionRank","Debris","Stomach tissue","Unid animal material","Unid plant material","Worm pieces","Acanthocyclops spp","Acartia spp","Acartia copepodid","Acartiella sinensis","Acartiella copepodid","Barnacle nauplii","Bosmina spp","Ceriodaphnia spp","Calanoid copepodid","Chironomid larvae","Clams","Copepod nauplii","Corophium type","Crab zoea","Cumaceans","Cyclopoid copepodid","Daphnia spp","Diacyclops spp","Diaphanosoma spp","Diaptomus spp","Diaptomus copepodid","Eucyclops spp","Eurytemora spp","Eurytemora copepodid","Eurytemora nauplii","Fish eggs","Gammarus type","Harpacticoids","Hyperacanthomysis longirostris","Isopods","Limnoithona spp","Limnoithona copepodid","Longfin Smelt","Neomysis kadiakensis","Neomysis mercedis","Nippoleucon hinumensis","Oithona davisae","Oithona copepodid","Osphranticum","Ostracods","Other calanoid","Other cladocera","Other cyclopoid","Other insect larvae","Other malacostraca","Other rotifer","Other zooplankton","Palaemon","Prickly Sculpin","Pseudodiaptomus copepodid","Pseudodiaptomus forbesi","Pseudodiaptomus marinus","Pseudodiaptomus nauplii","Pseudodiaptomus spp","Sinocalanus copepodid","Sinocalanus nauplii","Sinocalanus spp","Terrestrial invertebrates","Tortanus copepodid","Tortanus dextrilobatus","Tortanus spp","Tridentiger spp","Unid amphipod","Unid calanoid","Unid cladocera","Unid copepod","Unid cumacean","Unid cyclopoid","Unid fish","Unid mysids","totprey"
"FLaSH 0089 FMWT 2011-09-13 519 1265","FLaSH","0089","FMWT","MWT",2011,9,2011-09-13,10:07:00,"519","1265","NA",1.524,19.6,2244,1.12693710245574,NA,2263,1.14,20,91.4,1.4685,57,"Y",NA,1,5e-05,0.00374,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0096 FMWT 2011-09-13 519 1261","FLaSH","0096","FMWT","MWT",2011,9,2011-09-13,10:07:00,"519","1261","NA",1.524,19.6,2244,1.12693710245574,NA,2263,1.14,20,91.4,0.3965,39,"Y",0.00276,9,0.00047,0.11773,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0169 FMWT 2011-11-15 704 2846","FLaSH","0169","FMWT","MWT",2011,11,2011-11-15,08:48:00,"704","2846","NA",11.2776,13.4,1988,0.989732492795049,NA,3068,1.58,48,21.3,1.6855,56,"Y",0.01076,43,0.00681,0.40409,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0174 FMWT 2011-11-21 719 2983","FLaSH","0174","FMWT","MWT",2011,11,2011-11-21,09:34:00,"719","2983","NA",10.9728,12.6,365,0.161177380814769,NA,370,0.16,21,54.2,1.0009,49,"Y",0.00266,1,0.00087,0.08693,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0220 FMWT 2011-12-16 719 2059","FLaSH","0220","FMWT","MWT",2011,12,2011-12-16,10:09:00,"719","2059","NA",10.9728,8.9,309,0.134861645408036,NA,332,0.15,32,37.8,1.1521,53,"Y",0.00201,1,5e-05,0.00477,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0252 FMWT 2011-12-12 705 3367","FLaSH","0252","FMWT","MWT",2011,12,2011-12-12,13:40:00,"705","3367","NA",10.9728,9.3,700,0.323605413765496,NA,2161,1.08,91,11.6,1.6084,56,"Y",0.00289,2,5e-05,0.00293,NA,NA,"N","Y","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0688 SKT 2012-04-04 719 4942","FLaSH","0688","SKT","KT",2012,4,2012-04-04,10:55:00,"719","4942","NA",9.4488,14.1,590,0.27,NA,NA,NA,37,26,2.2491,68,"Y",NA,219,0.01548,0.68842,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0690 SKT 2012-04-04 719 4947","FLaSH","0690","SKT","KT",2012,4,2012-04-04,10:55:00,"719","4947","NA",9.4488,14.1,590,0.27,NA,NA,NA,37,26,2.6303,68,"Y",0.0105,408,0.02691,1.02316,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0691 SKT 2012-04-04 719 4950","FLaSH","0691","SKT","KT",2012,4,2012-04-04,10:55:00,"719","4950","NA",9.4488,14.1,590,0.27,NA,NA,NA,37,26,2.4965,68,"Y",0.00562,48,0.00309,0.12369,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0692 SKT 2012-04-04 719 4953","FLaSH","0692","SKT","KT",2012,4,2012-04-04,10:55:00,"719","4953","NA",9.4488,14.1,590,0.27,NA,NA,NA,37,26,1.7734,59,"Y",0.01385,283,0.01987,1.12027,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0719 SKT 2012-05-02 719 5095","FLaSH","0719","SKT","KT",2012,5,2012-05-02,10:15:00,"719","5095","NA",9.4488,18.8,646,0.296955655,NA,NA,NA,32,25,2.8179,71,"Y",NA,52,0.0033,0.11709,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1005 FMWT 2012-10-11 513 5655","FLaSH","1005","FMWT","MWT",2012,10,2012-10-11,09:04:00,"513","5655","NA",13.4112,17.8999996185303,3442,1.78294055689059,NA,4245,2.23,41.9999986886978,22.7000007629395,0.9478,51,"Y",0.00489,1,0.00022,0.02317,NA,NA,"N","N","Y","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1023 FMWT 2012-11-14 704 5942","FLaSH","1023","FMWT","MWT",2012,11,2012-11-14,08:47:00,"704","5942","NA",10.0584,14.6999998092651,3004,1.54072194832567,NA,4243,2.23,47.9999989271164,21.2000007629395,1.3898,58,"Y",NA,5,0.00315,0.22696,2,4,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1171 SKT 2013-02-06 719 6294","FLaSH","1171","SKT","KT",2013,2,2013-02-06,09:31:00,"719","6294","NA",9.4488,9.5,529,0.239773730282517,NA,NA,NA,30,42,1.8196,63,"Y",0.00488,31,0.00211,0.11612,1,1,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1176 SKT 2013-02-06 719 6322","FLaSH","1176","SKT","KT",2013,2,2013-02-06,09:31:00,"719","6322","NA",9.4488,9.5,529,0.239773730282517,NA,NA,NA,30,42,1.5038,60,"Y",0.00431,21,0.00134,0.08895,2,3,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1197 SKT 2013-05-01 716 6639","FLaSH","1197","SKT","KT",2013,5,2013-05-01,10:58:00,"716","6639","NA",7.9248,18.8999996185303,207,0.0878393790846943,NA,NA,NA,26,29,2.6541,72,"Y",NA,1,7e-05,0.00266,1,1,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1201 STN 2013-06-12 519 0095","FLaSH","1201","STN","TWNET",2013,6,2013-06-12,12:12:00,"519","0095","NA",3.048,21.1000003814697,8161,4.50978095577991,NA,9177,5.12,22,NA,0.6771,46,"Y",0.00173,4,0.00019,0.02753,1,1,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1219 STN 2013-06-12 610 0071","FLaSH","1219","STN","TWNET",2013,6,2013-06-12,07:16:00,"610","0071","NA",4.2672,20.1000003814697,6254,3.38626906187225,NA,6225,3.37,34,NA,0.2262,32,"Y",0.00135,8,0.00044,0.19416,2,3,"Y","N","Y","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1222 STN 2013-06-10 704 0005","FLaSH","1222","STN","TWNET",2013,6,2013-06-10,10:17:00,"704","0005","NA",9.144,19.2000007629395,1466,0.714149189200495,NA,1682,0.83,27,NA,0.1973,31,"Y",6e-04,1,5e-05,0.02783,1,3,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1224 STN 2013-06-10 704 0007","FLaSH","1224","STN","TWNET",2013,6,2013-06-10,10:17:00,"704","0007","NA",9.144,19.2000007629395,1466,0.714149189200495,NA,1682,0.83,27,NA,0.2842,35,"Y",0.0034,18,0.001,0.35327,1,2,"N","N","Y","Y","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1226 STN 2013-06-11 719 0044","FLaSH","1226","STN","TWNET",2013,6,2013-06-11,09:54:00,"719","0044","NA",11.2776,21,408,0.181581224941503,NA,380,0.17,28,NA,0.4318,41,"Y",0.00298,74,0.00315,0.7305,2,2,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1227 STN 2013-06-11 719 0047","FLaSH","1227","STN","TWNET",2013,6,2013-06-11,09:54:00,"719","0047","NA",11.2776,21,408,0.181581224941503,NA,380,0.17,28,NA,0.1641,30,"Y",NA,43,0.0017,1.03809,1,1,"Y","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1228 STN 2013-06-11 719 0048","FLaSH","1228","STN","TWNET",2013,6,2013-06-11,09:54:00,"719","0048","NA",11.2776,21,408,0.181581224941503,NA,380,0.17,28,NA,0.1852,30,"Y",0.00285,47,0.00237,1.27889,3,2,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1229 STN 2013-06-11 719 0049","FLaSH","1229","STN","TWNET",2013,6,2013-06-11,09:54:00,"719","0049","NA",11.2776,21,408,0.181581224941503,NA,380,0.17,28,NA,0.1012,26,"Y",0.00156,29,0.00141,1.39427,2,1,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1232 STN 2013-06-11 719 0053","FLaSH","1232","STN","TWNET",2013,6,2013-06-11,09:54:00,"719","0053","NA",11.2776,21,408,0.181581224941503,NA,380,0.17,28,NA,0.1103,24,"Y",NA,3,0.00012,0.11197,1,1,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1233 STN 2013-06-24 719 0100","FLaSH","1233","STN","TWNET",2013,6,2013-06-24,10:29:00,"719","0100","NA",10.3632,20.8999996185303,432,0.193036726855235,NA,372,0.16,31,NA,0.2255,33,"Y",NA,24,0.00122,0.54266,3,2,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1234 STN 2013-06-24 719 0101","FLaSH","1234","STN","TWNET",2013,6,2013-06-24,10:29:00,"719","0101","NA",10.3632,20.8999996185303,432,0.193036726855235,NA,372,0.16,31,NA,0.1456,28,"Y",0.00154,4,0.00024,0.16264,2,1,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1235 STN 2013-06-11 721 0030","FLaSH","1235","STN","TWNET",2013,6,2013-06-11,08:31:00,"721","0030","NA",4.2672,20.1000003814697,188,0.0792399245437001,NA,128,0.05,35,NA,0.1302,27,"Y",NA,6,0.00029,0.22135,2,1,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1236 STN 2012-06-13 508 5189","FLaSH","1236","STN","TWNET",2012,6,2012-06-13,09:47:00,"508","5189","NA",11.5824,20.2000007629395,3804,1.98492087518005,19.9,4640,2.46,39,23.8999996185303,0.2567,34,"Y",0.00183,14,0.00077,0.29942,3,1,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1237 STN 2012-06-13 513 5188","FLaSH","1237","STN","TWNET",2012,6,2012-06-13,08:36:00,"513","5188","NA",15.24,20,1930,0.958821325062239,19.9,3034,1.56,36,31.6000003814697,0.137,29,"Y",0.00061,9,0.00053,0.38372,2,2,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1262 STN 2012-06-27 513 5228","FLaSH","1262","STN","TWNET",2012,6,2012-06-27,07:50:00,"513","5228","NA",15.24,19.7999992370605,1504,0.733996912617268,19.2,1981,0.99,44,21.2000007629395,0.1668,29,"Y",0.00062,4,0.00022,0.13165,2,1,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 1263 STN 2012-06-27 513 5229","FLaSH","1263","STN","TWNET",2012,6,2012-06-27,07:50:00,"513","5229","NA",15.24,19.7999992370605,1504,0.733996912617268,19.2,1981,0.99,44,21.2000007629395,0.3045,34,"Y",0.00251,48,0.00248,0.81537,2,2,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
