"UniqueID","DietStudy","LogNumber","Project","GearType","Year","Month","Date","Time","Station","SerialNumber","CultureOrigin","Depth","SurfaceTemperature","SurfaceConductivity","SurfacePPT","BottomTemperature","BottomConductivity","BottomPPT","Secchi","Turbidity","TotalBodyWeight","Length","GutContents","TotalGutContentWeight","TotalNumberOfPrey","TotalPreyWeight","GutFullness","FullnessRank","DigestionRank","Debris","Unid animal material","Unid plant material","Stomach tissue","Worm pieces","Acanthocyclops spp","Acartia copepodid","Acartia spp","Acartiella copepodid","Acartiella sinensis","Barnacle nauplii","Bosmina spp","Calanoid copepodid","Ceriodaphnia spp","Chironomid larvae","Clams","Copepod nauplii","Corophium type","Crab zoea","Cumaceans","Cyclopoid copepodid","Daphnia spp","Diaphanosoma spp","Diaptomus copepodid","Diaptomus spp","Eurytemora copepodid","Eurytemora nauplii","Eurytemora spp","Fish eggs","Gammarus type","Harpacticoids","Hyperacanthomysis longirostris","Isopods","Limnoithona copepodid","Limnoithona spp","Longfin Smelt","Neomysis kadiakensis","Neomysis mercedis","Nippoleucon hinumensis","Oithona copepodid","Oithona davisae","Osphranticum","Ostracods","Other calanoid","Other cladocera","Other cyclopoid","Other insect larvae","Other malacostraca","Other rotifer","Other zooplankton","Pacific Herring","Palaemon","Prickly Sculpin","Pseudodiaptomus copepodid","Pseudodiaptomus forbesi","Pseudodiaptomus marinus","Pseudodiaptomus nauplii","Pseudodiaptomus spp","Sinocalanus copepodid","Sinocalanus nauplii","Sinocalanus spp","Synchaeta","Terrestrial invertebrates","Tortanus copepodid","Tortanus dextrilobatus","Tortanus spp","Tridentiger spp","Unid amphipod","Unid calanoid","Unid cladocera","Unid copepod","Unid cyclopoid","Unid fish","Unid mysids"
"FLaSH 0011 STN 2011-08-25 602 1082","FLaSH","0011","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1082","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.4495,42,"Y",0.00228,4,0.00228,0.11442,NA,NA,"N","N","N","N","N",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"FLaSH 0012 STN 2011-08-25 602 1066","FLaSH","0012","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1066","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.6611,47,"Y",0.00145,36,0.00145,0.31603,NA,NA,"N","N","N","N","N",0,0,0,1,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"FLaSH 0013 STN 2011-08-25 602 1065","FLaSH","0013","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1065","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.4502,40,"Y",0.00077,9,0.00077,0.15053,NA,NA,"N","N","N","N","N",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0014 STN 2011-08-25 418 1085","FLaSH","0014","STN","TWNET",2011,8,2011-08-25,10:58:00,"418","1085","U",8.2,20.8,13250,7.61,20,14210,8.21,46,19.9,1.3702,55,"Y",0.00054,2,0.00054,0.02454,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0015 STN 2011-08-24 501 1004","FLaSH","0015","STN","TWNET",2011,8,2011-08-24,09:34:00,"501","1004","U",10.4,20.6,6800,3.71,20,7600,4.18,51,18.2,0.8029,47,"Y",0.00279,43,0.00279,0.2994,NA,NA,"N","N","N","N","N",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"FLaSH 0016 STN 2011-08-23 716 1382","FLaSH","0016","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1382","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.5117,41,"Y",0.00151,64,0.00151,0.37739,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,0,6,0,0,0,2,0,0,0,0,0,0,0,0,1,20,0,0,0
"FLaSH 0017 STN 2011-08-23 716 1398","FLaSH","0017","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1398","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.35,37,"Y",0.00058,1,0.00058,0.00391,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0018 STN 2011-08-23 716 1384","FLaSH","0018","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1384","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.9668,50,"Y",0.0045,32,0.0045,0.07912,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"FLaSH 0019 STN 2011-08-25 602 1071","FLaSH","0019","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1071","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.4308,40,"Y",0.003,15,0.003,0.28986,NA,NA,"N","N","N","N","N",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"FLaSH 0020 STN 2011-08-25 602 1075","FLaSH","0020","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1075","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.427,41,"Y",0.00487,202,0.00487,0.42456,NA,NA,"N","N","N","N","N",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,27,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
"FLaSH 0021 STN 2011-08-25 602 1078","FLaSH","0021","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1078","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.5131,44,"Y",0.00146,10,0.00146,0.23477,NA,NA,"N","N","N","N","N",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"FLaSH 0022 STN 2011-08-25 602 1079","FLaSH","0022","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1079","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.3998,39,"Y",0.00163,51,0.00163,0.27566,NA,NA,"N","N","N","N","N",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0023 STN 2011-08-25 602 1073","FLaSH","0023","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1073","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.5632,44,"Y",0.0032,25,0.0032,0.35755,NA,NA,"N","N","N","N","N",0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"FLaSH 0024 STN 2011-08-25 602 1077","FLaSH","0024","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1077","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.7269,49,"Y",0.00255,35,0.00255,0.47509,NA,NA,"N","N","N","N","N",0,0,0,0,24,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"FLaSH 0025 STN 2011-08-25 602 1067","FLaSH","0025","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1067","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.2883,35,"Y",0.00237,22,0.00237,0.39771,NA,NA,"N","N","N","N","N",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"FLaSH 0026 STN 2011-08-25 602 1068","FLaSH","0026","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1068","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.3477,37,"Y",NA,77,NA,0.28364,NA,NA,"N","N","N","N","N",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0027 STN 2011-08-24 501 1003","FLaSH","0027","STN","TWNET",2011,8,2011-08-24,09:34:00,"501","1003","U",10.4,20.6,6800,3.71,20,7600,4.18,51,18.2,0.4491,52,"Y",0.00279,17,0.00279,0.21312,NA,NA,"N","N","N","N","N",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0028 STN 2011-08-23 716 1366","FLaSH","0028","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1366","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,1.0253,53,"Y",0.0056,199,0.0056,0.60625,NA,NA,"N","N","N","N","N",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,64,0,5,0,0,0,0,0,0,0,0,0,0,1,51,0,0,0,0,0
"FLaSH 0029 STN 2011-08-23 716 1381","FLaSH","0029","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1381","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.5297,43,"Y",0.00318,87,0.00318,0.47093,NA,NA,"N","N","N","N","N",0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,30,21,0,10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"FLaSH 0030 STN 2011-08-23 716 1391","FLaSH","0030","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1391","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.4561,39,"Y",0.00207,71,0.00207,0.40886,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,18,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"FLaSH 0031 FMWT 2011-09-08 413 1109","FLaSH","0031","FMWT","MWT",2011,9,2011-09-08,12:14:00,"413","1109","U",8.5,20,7380,4.05,NA,8200,4.53,38,77,0.9466,49,"Y",0.00858,104,0.00858,0.66232,NA,NA,"N","N","N","N","N",0,0,0,0,33,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0032 FMWT 2011-09-08 502 1117","FLaSH","0032","FMWT","MWT",2011,9,2011-09-08,13:10:00,"502","1117","U",14.3,20.1,6550,3.56,NA,6640,3.61,32,50.5,1.5465,57,"Y",NA,272,NA,1.03053,NA,NA,"N","N","N","N","N",0,0,0,0,66,0,0,1,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2
"FLaSH 0033 FMWT 2011-09-08 502 1118","FLaSH","0033","FMWT","MWT",2011,9,2011-09-08,13:10:00,"502","1118","U",14.3,20.1,6550,3.56,NA,6640,3.61,32,50.5,0.6607,45,"Y",NA,119,NA,1.02009,NA,NA,"N","N","N","N","N",0,0,0,0,47,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"FLaSH 0034 FMWT 2011-09-08 413 1108","FLaSH","0034","FMWT","MWT",2011,9,2011-09-08,12:14:00,"413","1108","U",8.5,20,7380,4.05,NA,8200,4.53,38,77,1.1163,53,"Y",NA,145,NA,0.84372,NA,NA,"N","N","N","N","N",0,0,0,0,26,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"FLaSH 0035 FMWT 2011-09-08 413 1110","FLaSH","0035","FMWT","MWT",2011,9,2011-09-08,12:14:00,"413","1110","U",8.5,20,7380,4.05,NA,8200,4.53,38,77,1.1626,52,"Y",0.01657,288,0.01657,1.46707,NA,NA,"N","Y","N","N","N",0,0,0,0,35,0,0,3,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
"FLaSH 0036 STN 2011-08-23 716 1379","FLaSH","0036","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1379","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.3541,37,"Y",0.0012,10,0.0012,0.05524,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0037 STN 2011-08-23 716 1377","FLaSH","0037","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1377","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.5997,43,"Y",NA,12,NA,0.07242,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0038 STN 2011-08-23 716 1393","FLaSH","0038","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1393","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.5529,43,"Y",0.0029,80,0.0029,0.33691,NA,NA,"N","Y","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,0,15,0,0,0,4,0,0,0,0,0,0,0,19,0,0,0,0,0
"FLaSH 0039 FMWT 2011-09-08 504 1123","FLaSH","0039","FMWT","MWT",2011,9,2011-09-08,15:06:00,"504","1123","U",16.2,20.6,5120,2.73,NA,7370,4.04,39,61.7,0.3659,39,"Y",0.00552,430,0.00552,1.81872,NA,NA,"N","N","N","N","N",0,0,0,0,14,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0040 STN 2011-08-23 716 1372","FLaSH","0040","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1372","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.4458,40,"Y",0.00329,40,0.00329,0.16629,NA,NA,"N","Y","N","N","N",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"FLaSH 0041 STN 2011-08-23 716 1386","FLaSH","0041","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1386","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.6285,44,"Y",0.00283,19,0.00283,0.04829,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FLaSH 0042 STN 2011-08-23 716 1375","FLaSH","0042","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1375","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.7392,49,"Y",0.00426,88,0.00426,0.27903,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,14,0,2,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0
"FLaSH 0043 STN 2011-08-23 716 1369","FLaSH","0043","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1369","U",10.4,20.6,163,0.07,20,163,0.07,35,29.5,0.9535,50,"Y",0.00755,129,0.00755,0.41355,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37,39,0,9,0,0,0,2,0,0,0,0,0,0,0,36,0,0,0,0,0
